Path,Lines of code,Lines of code generated,Lines of user code, Percentage of generated code
/LOL,42,42,0,"100.00"
/LOL/.settings,11,11,0,"100.00"
/LOL/bin,25,25,0,"100.00"
/LOL/bin/META-INF,14,14,0,"100.00"
/LOL/bin/controllers,304,304,0,"100.00"
/LOL/bin/logic,198,198,0,"100.00"
/LOL/bin/model,419,419,0,"100.00"
/LOL/bin/views,150,150,0,"100.00"
/LOL/bin/views/dictionary,82,82,0,"100.00"
/LOL/bin/views/test,140,140,0,"100.00"
/LOL/dictionaries,31,31,0,"100.00"
/LOL/src,25,25,0,"100.00"
/LOL/src/META-INF,14,14,0,"100.00"
/LOL/src/controllers,642,642,0,"100.00"
/LOL/src/logic,521,521,0,"100.00"
/LOL/src/model,839,839,0,"100.00"
/LOL/src/views,150,150,0,"100.00"
/LOL/src/views/dictionary,82,82,0,"100.00"
/LOL/src/views/test,140,140,0,"100.00"
